Computer Science?;English?;CP or Article?;Title;Admitted
VRAI;VRAI;VRAI;An empirical study on challenges of application development in serverless computing;VRAI
VRAI;VRAI;VRAI;An Improved Task Allocation Scheme in Serverless Computing Using Gray Wolf Optimization (GWO) Based Reinforcement Learning (RIL) Approach;VRAI
VRAI;VRAI;VRAI;An Intelligent Doorbell Design Using Federated Deep Learning;VRAI
VRAI;VRAI;VRAI;Anticipation and alert system of congestion and accidents in VANET using Big Data analysis for Intelligent Transportation Systems;VRAI
VRAI;VRAI;VRAI;Architectural vision of cloud computing in the indian government;VRAI
VRAI;VRAI;VRAI;AssistantGraph: An approach for reusable and composable data-driven assistant components;VRAI
VRAI;VRAI;VRAI;Automatic Hyperparameter Optimization for Arbitrary Neural Networks in Serverless AWS Cloud;VRAI
VRAI;VRAI;VRAI;Automatic Tuning of Hyperparameters for Neural Networks in Serverless Cloud;VRAI
VRAI;VRAI;FAUX;Azure internet of things revealed: Architecture and fundamentals;FAUX
VRAI;VRAI;VRAI;BARISTA: Efficient and scalable serverless serving system for deep learning prediction services;VRAI
VRAI;VRAI;VRAI;Batch: Machine learning inference serving on serverless platforms with adaptive batching;VRAI
VRAI;VRAI;VRAI;Behavior analysis using serverless machine learning;VRAI
VRAI;VRAI;VRAI;Big Data Ingestion and Lifelong Learning Architecture;VRAI
VRAI;VRAI;VRAI;Big data machine learning and graph analytics: Current state and future challenges;VRAI
VRAI;VRAI;VRAI;Big Data Processing at Microsoft: Hyper Scale, Massive Complexity, and Minimal Cost;VRAI
VRAI;VRAI;VRAI;Big data technology to exploit climate information/consumption models and to predict future behaviours;VRAI
VRAI;VRAI;VRAI;Big-data architecture for electrical consumption forecasting in educational institutions buildings;VRAI
VRAI;VRAI;VRAI;Bighead: A framework-agnostic, end-to-end machine learning platform;VRAI
VRAI;VRAI;VRAI;Bringing AI to the edge: A formal M&S specification to deploy effective IoT architectures;VRAI
VRAI;VRAI;VRAI;Cirrus: A Serverless Framework for End-To-end ML Workflows;VRAI
VRAI;VRAI;FAUX;CLOSER 2020 - Proceedings of the 10th International Conference on Cloud Computing and Services Science;FAUX
VRAI;VRAI;VRAI;Combining machine learning and semantics for anomaly detection;VRAI
VRAI;VRAI;VRAI;Comparative study of real time machine learning models for stock prediction through streaming data;VRAI
VRAI;VRAI;VRAI;Contention-aware container placement strategy for docker swarm with machine learning based clustering algorithms;VRAI
VRAI;VRAI;VRAI;Context agnostic trajectory prediction based on ?-architecture;VRAI
VRAI;VRAI;VRAI;Cost-Effective Malware Detection as a Service over Serverless Cloud Using Deep Reinforcement Learning;VRAI
VRAI;VRAI;VRAI;Cross-Platform Performance Evaluation of Stateful Serverless Workflows;VRAI
VRAI;VRAI;FAUX;DEBS 2021 - Proceedings of the 15th ACM International Conference on Distributed and Event-Based Systems;FAUX
VRAI;VRAI;VRAI;Deep learning architectures in emerging cloud computing architectures: Recent development, challenges and next research trend;VRAI
VRAI;VRAI;VRAI;Deployment and Management of Time Series Forecasts in Ocean Industry;VRAI
VRAI;VRAI;VRAI;DevOps and Quality Management in Serverless Computing: The RADON Approach;VRAI
VRAI;VRAI;VRAI;Distributed double machine learning with a serverless architecture;VRAI
VRAI;VRAI;VRAI;Distributed Machine Learning with a Serverless Architecture;VRAI
VRAI;VRAI;VRAI;Dorylus: Affordable, scalable, and accurate GNN training with distributed CPU servers and serverless threads;VRAI
VRAI;VRAI;VRAI;Edge-adaptable serverless acceleration for machine learning Internet of Things applications;VRAI
VRAI;VRAI;VRAI;Efficient GPU Sharing for Serverless Workflows;VRAI
VRAI;VRAI;VRAI;Enabling Cost-Effective, SLO-Aware Machine Learning Inference Serving on Public Cloud;VRAI
VRAI;VRAI;VRAI;Enhancing automated FaaS with cost-aware provisioning of cloud resources;VRAI
VRAI;VRAI;VRAI;Evaluating webassembly enabled serverless approach for edge computing;VRAI
VRAI;VRAI;VRAI;Event-driven framework for detecting unusual patterns in AAL environments;VRAI
VRAI;VRAI;VRAI;Exploring Serverless Computing for Neural Network Training;VRAI
VRAI;VRAI;VRAI;FAASM: Lightweight isolation for efficient stateful serverless computing;VRAI
VRAI;VRAI;VRAI;FaaSRank: Learning to Schedule Functions in Serverless Platforms;VRAI
VRAI;VRAI;VRAI;FaaStest - Machine learning based cost and performance FaaS optimization;VRAI
VRAI;VRAI;FAUX;Federated Learning with Cooperating Devices: A Consensus Approach;FAUX
VRAI;VRAI;VRAI;Federated Learning with Cooperating Devices: A Consensus Approach for Massive IoT Networks;VRAI
VRAI;VRAI;VRAI;Federated Learning with Mutually Cooperating Devices: A Consensus Approach Towards Server-Less Model Optimization;VRAI
VRAI;VRAI;VRAI;FedLess: Secure and Scalable Federated Learning Using Serverless Computing;VRAI
VRAI;VRAI;VRAI;FedSmarteum: Secure Federated Matrix Factorization Using Smart Contracts for Multi-Cloud Supply Chain;VRAI
VRAI;VRAI;VRAI;Gillis: Serving large neural networks in serverless functions with automatic model partitioning;VRAI
VRAI;VRAI;VRAI;GNOSIS-query-driven multimodal event processing for unstructured data streams;VRAI
VRAI;VRAI;VRAI;GPU Enabled Serverless Computing Framework;VRAI
VRAI;VRAI;VRAI;GPU usage estimation of deep learning training function for serverless computing;VRAI
VRAI;VRAI;VRAI;High performance serverless architecture for deep learning workflows;VRAI
VRAI;VRAI;VRAI;Highly flexible server agnostic complex event processing operators;VRAI
VRAI;VRAI;FAUX;HotCloud 2020 - 12th USENIX Workshop on Hot Topics in Cloud Computing, co-located with USENIX ATC 2020;FAUX
VRAI;VRAI;FAUX;ICPE 2021 - Companion of the ACM/SPEC International Conference on Performance Engineering;FAUX
VRAI;VRAI;VRAI;IFaaSBus: A Security- and Privacy-Based Lightweight Framework for Serverless Computing Using IoT and Machine Learning;VRAI
VRAI;VRAI;VRAI;Implementation of a self-adaptive real time recommendation system using spark machine learning libraries;VRAI
VRAI;VRAI;VRAI;Implementation of unsupervised k-means clustering algorithm within amazon web services lambda;VRAI
VRAI;VRAI;VRAI;Implications of Public Cloud Resource Heterogeneity for Inference Serving;VRAI
VRAI;VRAI;FAUX;International Conference on Applied Soft Computing and Communication Networks, ACN 2020;FAUX
VRAI;VRAI;FAUX;International Conference on High Performance Computing, ISC High Performance 2021;FAUX
FAUX;VRAI;VRAI;Introduction to Digital Libraries;FAUX
VRAI;VRAI;VRAI;Le Taureau: Deconstructing the Serverless Landscape & A Look Forward;VRAI
VRAI;VRAI;VRAI;Leveraging the serverless paradigm for realizing machine learning pipelines across the edge-cloud continuum;VRAI
VRAI;VRAI;VRAI;Lifelong Machine Learning and root cause analysis for large-scale cancer patient data;VRAI
VRAI;VRAI;VRAI;Machine learning and price-based load scheduling for an optimal IoT control in the smart and frugal home;VRAI
VRAI;VRAI;VRAI;Machine learning techniques for enhancing maritime surveillance based on GMTI radar and AIS;VRAI
VRAI;VRAI;VRAI;Mark: Exploiting cloud services for cost-effective, slo-aware machine learning inference serving;VRAI
VRAI;VRAI;FAUX;Middleware 2017 - Proceedings of the 2017 International Middleware Conference;FAUX
VRAI;VRAI;FAUX;Middleware 2020 - Proceedings of the 2020 21st International Middleware Conference;FAUX
VRAI;VRAI;VRAI;Migrating Large Deep Learning Models to Serverless Architecture;VRAI
VRAI;VRAI;VRAI;Modified deep residual network architecture deployed on serverless framework of IoT platform based on human activity recognition application;VRAI
VRAI;VRAI;FAUX;Monetizing machine learning: Quickly turn Python ML ideas into web applications on the serverless cloud;FAUX
VRAI;VRAI;VRAI;Monitorless: Predicting performance degradation in cloud applications with machine learning;VRAI
FAUX;VRAI;VRAI;MPC with machine learning applied to resource allocation problem using lambda architecture;FAUX
VRAI;VRAI;VRAI;NetflowTotal: A cloud service integration platform for malicious traffic analysis and collaboration;VRAI
VRAI;VRAI;VRAI;OFC: An opportunistic caching system for FaaS platforms;VRAI
VRAI;VRAI;VRAI;On the FaaS track: Building stateful distributed applications with serverless architectures;VRAI
VRAI;VRAI;VRAI;OpenDC 2.0: Convenient modeling and simulation of emerging technologies in cloud datacenters;VRAI
VRAI;VRAI;VRAI;Optimized container scheduling for data-intensive serverless edge computing;VRAI
VRAI;VRAI;VRAI;Optimizing serverless computing: Introducing an adaptive function placement algorithm;VRAI
VRAI;VRAI;VRAI;Performance and cost comparison of cloud services for deep learning workload;VRAI
VRAI;VRAI;VRAI;Performance Characterization and Modeling of Serverless and HPC Streaming Applications;VRAI
VRAI;VRAI;VRAI;Pilot-Edge: Distributed Resource Management along the Edge-to-Cloud Continuum;VRAI
FAUX;VRAI;VRAI;PODPAC: open-source Python software for enabling harmonized, plug-and-play processing of disparate earth observation data sets and seamless transition onto the serverless cloud by earth scientists;FAUX
VRAI;VRAI;FAUX;Polly: A Tool for Rapid Data Integration and Analysis in Support of Agricultural Research and Education;FAUX
VRAI;VRAI;VRAI;Poster: Lambda architecture for robust condition based maintenance with simulated failure modes;VRAI
VRAI;VRAI;VRAI;Potential Bottleneck and Measuring Performance of Serverless Computing: A Literature Study;VRAI
VRAI;VRAI;VRAI;Predictive Cyber Foraging for Visual Cloud Computing in Large-Scale IoT Systems;VRAI
FAUX;VRAI;VRAI;PrivacyFL: A Simulator for Privacy-Preserving and Secure Federated Learning;FAUX
VRAI;VRAI;FAUX;Pro spark streaming: The zen of real-time analytics using apache spark;FAUX
VRAI;VRAI;FAUX;Proceedings - 2019 IEEE 33rd International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2019;FAUX
VRAI;VRAI;FAUX;Proceedings - 2019 IEEE International Conference on Cloud Computing, CLOUD 2019 - Part of the 2019 IEEE World Congress on Services;FAUX
VRAI;VRAI;FAUX;Proceedings - 2020 IEEE 13th International Conference on Cloud Computing, CLOUD 2020;FAUX
VRAI;VRAI;FAUX;Proceedings - 2020 IEEE 22nd International Conference on High Performance Computing and Communications, IEEE 18th International Conference on Smart City and IEEE 6th International Conference on Data Science and Systems, HPCC-SmartCity-DSS 2020;FAUX
VRAI;VRAI;FAUX;Proceedings - SEKE 2021: 33rd International Conference on Software Engineering and Knowledge Engineering;FAUX
VRAI;VRAI;FAUX;Proceedings of CISTI 2020 - 15th Iberian Conference on Information Systems and Technologies;FAUX
VRAI;VRAI;FAUX;Proceedings of SC 2021: The International Conference for High Performance Computing, Networking, Storage and Analysis: Science and Beyond;FAUX
VRAI;VRAI;FAUX;Proceedings of the 36th Annual ACM Symposium on Applied Computing, SAC 2021;FAUX
VRAI;VRAI;FAUX;Proceedings of the 7th International Workshop on Serverless Computing, WoSC 2021;FAUX
VRAI;VRAI;FAUX;Proceedings of the 8th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies, BDCAT 2021;FAUX
FAUX;VRAI;VRAI;Production of global daily seamless data cubes and quantification of global land cover change from 1985 to 2020 - iMap World 1.0;FAUX
VRAI;VRAI;VRAI;Prognostics by classifying degradation stage on lambda architecture;VRAI
VRAI;VRAI;VRAI;QoS-Aware Workload Distribution in Hierarchical Edge Clouds: A Reinforcement Learning Approach;VRAI
VRAI;VRAI;VRAI;Quantifying and Improving Performance of Distributed Deep Learning with Cloud Storage;VRAI
VRAI;VRAI;VRAI;Query-driven video event processing for the internet multimedia things;VRAI
VRAI;VRAI;VRAI;Real-Time Estimated Time of Arrival Prediction System using Historical Surveillance Data;VRAI
VRAI;VRAI;VRAI;Real-time visualization of sensor data in smart manufacturing using lambda architecture;VRAI
FAUX;VRAI;FAUX;Recent Developments in the Design and Implementation of Programming Languages - Gabbrielli's Festschrift;FAUX
VRAI;VRAI;VRAI;Refactoring of Neural Network Models for Hyperparameter Optimization in Serverless Cloud;VRAI
VRAI;VRAI;VRAI;Reinforcement learning-assisted autoscaling mechanisms for serverless computing platforms;VRAI
VRAI;VRAI;VRAI;Reputation-aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning;VRAI
VRAI;VRAI;VRAI;Research on Parallel Support Vector Machine Based on Spark Big Data Platform;VRAI
VRAI;VRAI;VRAI;Return of the Runtimes: Rethinking the Language Runtime System for the Cloud 3.0 Era;VRAI
VRAI;VRAI;VRAI;SAMURAI: A batch and streaming context architecture for large-scale intelligent applications and environments;VRAI
VRAI;VRAI;VRAI;Scalability and realtime on big data, MapReduce, NoSQL and spark;VRAI
VRAI;VRAI;VRAI;Scalable IoT solution using cloud services - An automobile industry use case;VRAI
VRAI;VRAI;VRAI;Scheduling Hardware-Accelerated Cloud Functions;VRAI
VRAI;VRAI;VRAI;Seneca: Fast and low cost hyperparameter search for machine learning models;VRAI
VRAI;VRAI;VRAI;Serverless Computing Approach for Deploying Machine Learning Applications in Edge Layer;VRAI
VRAI;VRAI;VRAI;Serverless data parallelization for training and retraining of deep learning architecture in patient-specific arrhythmia detection;VRAI
FAUX;VRAI;VRAI;Serverless distributed learning for smart grid analytics;FAUX
VRAI;VRAI;VRAI;Serverless straggler mitigation using error-correcting codes;VRAI
VRAI;VRAI;VRAI;Serverless Workflows for Containerised Applications in the Cloud Continuum;VRAI
VRAI;VRAI;VRAI;Serving deep learning models in a serverless platform;VRAI
VRAI;VRAI;VRAI;Serving machine learning workloads in resource constrained environments: A serverless deployment example;VRAI
FAUX;VRAI;VRAI;Sharing learnings: The methodology, optimisation and benefits of moving subsurface data to the public cloud;FAUX
VRAI;VRAI;VRAI;Short paper: Tigeraware assistant: A new serverless implementation of conversational agents for customizable surveys on smart devices;VRAI
VRAI;VRAI;VRAI;SLA for Sequential Serverless Chains: A Machine Learning Approach;VRAI
VRAI;VRAI;VRAI;SLA-Aware Workload Scheduling Using Hybrid Cloud Services;VRAI
VRAI;VRAI;VRAI;SLATE: Managing heterogeneous cloud functions;VRAI
VRAI;VRAI;VRAI;Software Architecture Design of the Real- Time Processes Monitoring Platform;VRAI
VRAI;VRAI;VRAI;Soil Analysis and its Type Prediction with Speech Enabled Output using IoT and AWS;VRAI
VRAI;VRAI;VRAI;STOIC: Serverless Teleoperable Hybrid Cloud for Machine Learning Applications on Edge Device;VRAI
VRAI;VRAI;VRAI;Stratum: A serverless framework for the lifecycle management of machine learning-based data analytics tasks;VRAI
VRAI;VRAI;FAUX;SYSTOR 2018 - Proceedings of the 11th ACM International Systems and Storage Conference;FAUX
VRAI;VRAI;VRAI;TableNN: Deep Learning Framework for Learning Domain Specific Tabular Data;VRAI
VRAI;VRAI;VRAI;The Changing Role of the Software Engineer;VRAI
VRAI;VRAI;VRAI;The next generation cognitive security operations center: Adaptive analytic lambda architecture for efficient defense against adversarial attacks;VRAI
VRAI;VRAI;VRAI;Toci: Computational Intelligence in an Energy Management System;VRAI
VRAI;VRAI;FAUX;Toward information system architecture to support predictive maintenance approach;FAUX
VRAI;VRAI;VRAI;Toward Sustainable Serverless Computing;VRAI
VRAI;VRAI;VRAI;Towards Demystifying Serverless Machine Learning Training;VRAI
VRAI;VRAI;VRAI;Towards Federated Learning using FaaS Fabric;VRAI
VRAI;VRAI;VRAI;Towards predicting frailty symptoms through a smart walking stick;VRAI
VRAI;VRAI;VRAI;Towards situational awareness with multimodal streaming data fusion: Serverless computing approach;VRAI
VRAI;VRAI;VRAI;Towards the Use of Generative Adversarial Neural Networks to Attack Online Resources;VRAI
VRAI;VRAI;VRAI;TrIMS: Transparent and isolated model sharing for low latency deep learning inference in function-as-a-service;VRAI
VRAI;VRAI;VRAI;Using cloud tools for literate programming to redesign an ai course for non-traditional college students;VRAI
VRAI;VRAI;VRAI;VideoPipe: Building video stream processing pipelines at the edge;VRAI
VRAI;VRAI;VRAI;WidePipe: High-Throughput Deep Learning Inference System on a Cluster of Neural Processing Units;VRAI
VRAI;VRAI;VRAI;You Do Not Need a bigger boat: Recommendations at Reasonable Scale in a (Mostly) serverless and open stack;VRAI
VRAI;VRAI;VRAI;BBServerless: A Bursty Traffic Benchmark for Serverless;VRAI
VRAI;VRAI;VRAI;Distributed Task Scheduling in Serverless Edge Computing Networks for the Internet of Things: A Learning Approach;VRAI
VRAI;VRAI;FAUX;13th International Conference on ICT Innovations, ICT Innovations 2021;FAUX
VRAI;VRAI;VRAI;Astrea: Auto-Serverless Analytics towards Cost-Efficiency and QoS-Awareness;VRAI
VRAI;VRAI;VRAI;An efficient system using implicit feedback and lifelong learning approach to improve recommendation;VRAI
VRAI;VRAI;FAUX;Proceedings of the 25th Conference on Innovation in Clouds, Internet and Networks, ICIN 2022;FAUX
VRAI;VRAI;VRAI;INFless: A native serverless system for low-latency, high-Throughput inference;VRAI
VRAI;VRAI;VRAI;Reinforcement learning-assisted autoscaling mechanisms for serverless computing platforms;VRAI
VRAI;VRAI;FAUX;PPoPP 2022 - Proceedings of the 27th ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming;FAUX
VRAI;VRAI;FAUX;EuroMLSys 2022 - Proceedings of the 2nd European Workshop on Machine Learning and Systems;FAUX
VRAI;VRAI;VRAI;Accelerating Serverless Computing by Harvesting Idle Resources;VRAI
VRAI;VRAI;VRAI;IFaaSBus: A Security- and Privacy-Based Lightweight Framework for Serverless Computing Using IoT and Machine Learning;VRAI
VRAI;VRAI;VRAI;Stateful Serverless Computing with Crucial;VRAI
VRAI;VRAI;VRAI;AI for next generation computing: Emerging trends and future directions;VRAI
VRAI;VRAI;VRAI;Reputation-Aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning;VRAI
